selectedPart,alignmentCategory,anchorCategory,anchorDistance,alignmentDistance,round5Distance,alignmentType,alignmentPosition,chartType,UID,selectedLabel,A,B,C,D,E,F,G,A_ind,B_ind,C_ind,D_ind,E_ind,F_ind,G_ind,questionID
40,aligned,far-anchor,10,0,0,75,35,pie,1,A,40,23,5,5,2,9,16,4,5,1,2,6,3,0,1
46,far-from-aligned,near-anchor,4,9,1,25,16,line,1,D,4,13,13,46,12,3,9,4,0,6,2,5,1,3,2
21,near-aligned,near-anchor,4,3,1,75,72,line,1,D,6,9,15,21,7,21,21,4,3,1,5,6,0,2,3
19,near-aligned,far-anchor,6,2,1,100,79,line,1,E,19,26,8,14,19,12,2,2,0,1,3,5,4,6,4
35,far-from-aligned,far-anchor,10,6,0,50,56,line,1,E,14,7,6,4,35,25,9,4,2,3,0,5,1,6,5
18,far-from-aligned,far-anchor,7,8,2,75,65,line,1,G,12,17,17,17,7,12,18,1,0,2,6,3,4,5,6
22,far-from-aligned,near-anchor,3,5,2,75,58,pie,1,C,26,5,22,15,20,9,3,1,6,4,5,2,3,0,7
50,near-aligned,anchor,0,3,0,0 and 50,3,line,1,A,50,3,9,5,9,3,21,1,0,2,6,4,5,3,8
18,aligned,far-anchor,7,0,2,75,57,pie,1,G,17,24,8,16,11,6,18,5,1,6,2,3,0,4,9
46,far-from-aligned,near-anchor,4,6,1,50,44,pie,1,B,7,46,11,9,10,10,7,3,5,4,2,0,6,1,10
32,far-from-aligned,far-anchor,7,7,2,75,36,pie,1,B,16,32,9,8,7,12,16,6,3,4,1,5,0,2,11
16,aligned,far-anchor,9,0,1,100,84,line,1,C,4,13,16,10,39,9,9,5,0,6,4,1,2,3,12
16,near-aligned,far-anchor,9,2,1,25,7,line,1,C,10,19,16,7,24,17,7,3,5,1,4,2,6,0,13
22,aligned,near-anchor,3,0,2,0,0,line,1,G,14,7,14,13,19,11,22,6,5,3,4,1,2,0,14
15,far-from-aligned,far-anchor,10,6,0,50,44,line,1,F,20,7,12,22,12,15,12,0,4,5,6,2,3,1,15
27,near-aligned,near-anchor,2,3,2,0,3,pie,1,B,3,27,6,8,19,18,19,0,1,4,5,6,2,3,16
25,aligned,anchor,0,0,0,25 and 50,25,pie,1,F,16,15,9,24,7,25,4,0,6,1,5,3,2,4,17
34,far-from-aligned,far-anchor,9,5,1,50,11,line,1,E,5,9,2,11,34,18,21,6,3,2,0,1,5,4,18
25,near-aligned,anchor,0,2,0,50 and 75,48,pie,1,A,25,7,7,9,15,18,19,4,2,3,6,1,5,0,19
53,far-from-aligned,far-anchor,3,10,2,75,12,line,1,B,9,53,11,15,5,6,1,5,2,1,4,3,6,0,20
48,near-aligned,near-anchor,2,3,2,25,22,line,1,A,48,4,12,2,6,18,10,3,0,1,4,2,5,6,21
47,far-from-aligned,near-anchor,3,9,2,50,12,pie,1,E,11,11,12,12,47,4,3,5,4,6,0,1,2,3,22
46,near-aligned,near-anchor,4,2,1,25,23,pie,1,D,18,9,6,46,2,8,11,5,2,0,3,6,1,4,23
18,far-from-aligned,far-anchor,7,6,2,25,13,line,1,D,17,9,23,18,10,13,10,2,4,3,1,5,0,6,24
53,near-aligned,far-anchor,3,3,2,0,3,line,1,C,12,7,53,3,6,12,7,5,6,1,0,3,4,2,25
50,aligned,anchor,0,0,0,50 and 100,50,line,1,B,7,50,3,5,19,7,9,3,6,0,1,2,4,5,26
17,far-from-aligned,far-anchor,8,5,2,25,20,pie,1,G,19,17,20,7,9,11,17,5,3,0,4,6,2,1,27
27,aligned,near-anchor,2,0,2,25,25,pie,1,E,11,10,6,16,27,15,15,6,0,3,5,2,1,4,28
50,aligned,anchor,0,0,0,25 and 75,25,pie,1,F,7,9,7,10,8,50,9,6,4,1,2,0,3,5,29
25,far-from-aligned,anchor,0,7,0,25 and 50,18,pie,1,D,6,13,18,25,21,7,10,2,6,0,1,4,3,5,30
24,far-from-aligned,near-anchor,1,9,1,50,41,line,1,G,3,7,10,18,28,10,24,1,4,2,5,0,6,3,31
37,near-aligned,far-anchor,12,3,2,75,35,line,1,C,14,8,37,13,6,5,17,5,4,3,0,6,2,1,32
50,aligned,anchor,0,0,0,50 and 100,50,line,1,E,1,11,5,9,50,11,13,4,3,2,1,6,0,5,33
30,near-aligned,far-anchor,5,4,0,100,66,line,1,D,14,4,16,30,9,17,10,0,6,1,5,4,3,2,34
25,far-from-aligned,anchor,0,7,0,0 and 25,7,line,1,E,13,13,17,14,25,11,7,4,5,3,2,1,6,0,35
24,far-from-aligned,near-anchor,1,11,1,50,39,pie,1,A,24,9,19,14,8,10,16,3,0,4,2,5,6,1,36
16,near-aligned,far-anchor,9,2,1,0,2,line,1,F,18,19,8,13,2,16,24,4,2,3,5,0,1,6,37
22,aligned,near-anchor,3,0,2,0,0,pie,1,F,2,23,15,15,9,22,14,4,1,5,2,6,0,3,38
48,aligned,near-anchor,2,0,2,100,52,pie,1,C,21,5,48,9,3,13,1,3,4,6,1,5,0,2,39
39,far-from-aligned,far-anchor,11,6,1,75,42,pie,1,D,19,11,10,39,8,6,7,2,6,1,4,5,3,0,40
19,aligned,far-anchor,6,0,1,75,56,line,1,F,18,11,5,7,20,19,20,6,3,1,5,0,4,2,41
46,aligned,near-anchor,4,0,1,0,0,line,1,G,18,6,3,18,6,3,46,3,2,5,1,6,4,0,42
17,near-aligned,far-anchor,8,1,2,50,49,pie,1,E,18,10,21,1,17,17,16,6,3,1,2,4,0,5,43
23,aligned,near-anchor,2,0,2,75,75,pie,1,C,2,4,23,8,16,39,8,6,1,5,4,2,3,0,44
42,near-aligned,far-anchor,8,3,2,0,3,pie,1,C,20,3,42,10,3,15,7,5,0,1,2,3,4,6,45
31,aligned,far-anchor,6,0,1,100,69,line,1,D,8,20,6,31,17,6,12,5,0,3,6,2,4,1,46
50,far-from-aligned,anchor,0,11,0,25 and 75,14,line,1,G,14,6,15,8,4,3,50,5,1,6,0,3,4,2,47
21,near-aligned,near-anchor,4,4,1,25,21,line,1,G,16,14,16,7,14,12,21,3,6,4,0,1,5,2,48
17,near-aligned,far-anchor,8,3,2,0,3,pie,1,E,26,18,3,5,17,14,17,2,4,0,6,1,3,5,49
52,near-aligned,far-anchor,2,3,2,25,28,line,1,E,8,6,11,3,52,9,11,0,1,5,3,4,6,2,50
46,near-aligned,near-anchor,4,1,1,50,3,line,1,A,46,6,3,6,15,10,14,1,5,0,6,3,2,4,51
23,far-from-aligned,near-anchor,2,5,2,25,7,pie,1,B,20,23,19,22,4,7,5,2,1,4,3,6,0,5,52
30,far-from-aligned,far-anchor,5,6,0,75,39,pie,1,G,24,11,5,4,12,14,30,0,2,6,1,5,4,3,53
40,aligned,far-anchor,10,0,0,50,10,pie,1,C,18,7,40,10,3,15,7,5,6,1,0,2,4,3,54
23,far-from-aligned,near-anchor,2,10,2,25,12,line,1,B,9,23,12,20,5,22,9,2,1,0,4,3,5,6,55
20,aligned,far-anchor,5,0,0,0,0,line,1,A,20,4,6,7,22,19,22,0,2,6,4,5,3,1,56
23,near-aligned,near-anchor,2,3,2,75,55,line,1,C,16,27,23,3,6,3,22,5,3,4,0,6,2,1,57
54,aligned,far-anchor,4,0,1,25,25,pie,1,F,6,9,12,8,5,54,6,5,4,1,0,2,3,6,58
23,near-aligned,near-anchor,2,3,2,50,30,pie,1,A,23,5,2,15,28,11,16,2,6,1,5,0,3,4,59
21,far-from-aligned,near-anchor,4,9,1,75,66,line,1,B,13,21,26,17,13,3,7,6,5,1,3,0,2,4,60
27,near-aligned,near-anchor,2,4,2,50,19,line,1,B,7,27,15,12,11,18,10,1,2,3,0,5,4,6,61
27,far-from-aligned,near-anchor,2,7,2,0,7,pie,1,C,23,12,27,14,7,4,13,6,2,1,4,0,5,3,62
17,aligned,far-anchor,8,0,2,50,50,line,1,G,21,12,21,13,14,2,17,5,6,1,0,2,3,4,63
24,far-from-aligned,near-anchor,1,10,1,75,61,pie,1,C,14,15,24,7,6,23,11,1,6,5,2,3,0,4,64
22,far-from-aligned,near-anchor,3,11,2,25 and 25,14,line,1,F,5,17,16,12,14,22,14,6,5,3,2,4,1,0,65
52,far-from-aligned,far-anchor,2,5,2,25,30,line,1,D,1,15,18,52,4,7,3,3,6,0,4,2,1,5,66
41,near-aligned,far-anchor,9,1,1,100,58,pie,1,E,1,10,7,20,41,19,2,6,4,3,2,5,0,1,67
